rank,ranking-institution-title,ranking-institution-title href,location,overall,resources,engagement,outcomes,enviroment
22,Williams College,https://www.timeshighereducation.com/world-university-rankings/williams-college#ranking-dataset/634830,Massachusetts,85,24.5,15.8,38.2,6.6
23,Amherst College,https://www.timeshighereducation.com/world-university-rankings/amherst-college#ranking-dataset/634830,Massachusetts,84.4,24.1,15.4,37.5,7.4
24,University of Notre Dame,https://www.timeshighereducation.com/world-university-rankings/university-notre-dame-0#ranking-dataset/634830,Indiana,83.1,24.4,17.1,37,4.6
25,"University of California, Los Angeles",https://www.timeshighereducation.com/world-university-rankings/university-california-los-angeles#ranking-dataset/634830,California,82.2,19.8,16.9,36.7,8.8
26,Pomona College,https://www.timeshighereducation.com/world-university-rankings/pomona-college#ranking-dataset/634830,California,82.1,24.9,16.3,33.1,7.8
27,University of Michigan,https://www.timeshighereducation.com/world-university-rankings/university-michigan#ranking-dataset/634830,Michigan,81.8,21,17.3,37.6,6
28,Wellesley College,https://www.timeshighereducation.com/world-university-rankings/wellesley-college#ranking-dataset/634830,Massachusetts,81.1,24.3,16.6,33,7.1
29,New York University,https://www.timeshighereducation.com/world-university-rankings/new-york-university#ranking-dataset/634830,New York,81,23.4,17.1,32.8,7.7
30,Swarthmore College,https://www.timeshighereducation.com/world-university-rankings/swarthmore-college#ranking-dataset/634830,Pennsylvania,80.9,24.2,17.3,32.2,7.2
31,Georgetown University,https://www.timeshighereducation.com/world-university-rankings/georgetown-university#ranking-dataset/634830,District of Columbia,80.8,23.1,16.1,35.3,6.3
32,Tufts University,https://www.timeshighereducation.com/world-university-rankings/tufts-university#ranking-dataset/634830,Massachusetts,80.6,25.8,16.4,32.5,5.9
33,University of North Carolina at Chapel Hill,https://www.timeshighereducation.com/world-university-rankings/university-north-carolina-chapel-hill#ranking-dataset/634830,North Carolina,80.2,20.7,16.5,37.6,5.3
34,Case Western Reserve University,https://www.timeshighereducation.com/world-university-rankings/case-western-reserve-university#ranking-dataset/634830,Ohio,79.6,24.2,16.5,32.6,6.3
35,Claremont McKenna College,https://www.timeshighereducation.com/world-university-rankings/claremont-mckenna-college#ranking-dataset/634830,California,79.5,24.8,16.7,31.3,6.7
36,Middlebury College,https://www.timeshighereducation.com/world-university-rankings/middlebury-college#ranking-dataset/634830,Vermont,79,23.7,16.5,33.9,4.8
37,Smith College,https://www.timeshighereducation.com/world-university-rankings/smith-college#ranking-dataset/634830,Massachusetts,78.9,23.7,16.9,31.5,6.9
38,Carleton College,https://www.timeshighereducation.com/world-university-rankings/carleton-college#ranking-dataset/634830,Minnesota,78.6,23.3,16.8,32.6,6
39,Bowdoin College,https://www.timeshighereducation.com/world-university-rankings/bowdoin-college#ranking-dataset/634830,Maine,78.4,23.7,16.8,33.1,4.8
40,Boston University,https://www.timeshighereducation.com/world-university-rankings/boston-university#ranking-dataset/634830,Massachusetts,78.2,21.3,16.9,33.6,6.4
40,"University of California, Berkeley",https://www.timeshighereducation.com/world-university-rankings/university-california-berkeley#ranking-dataset/634830,California,78.2,18.6,16.6,34.6,8.4
42,Haverford College,https://www.timeshighereducation.com/world-university-rankings/haverford-college#ranking-dataset/634830,Pennsylvania,78,24.5,16,32,5.6
43,Purdue University,https://www.timeshighereducation.com/world-university-rankings/purdue-university#ranking-dataset/634830,Indiana,77.1,20.2,17.1,34,5.7
44,University of Miami,https://www.timeshighereducation.com/world-university-rankings/university-miami#ranking-dataset/634830,Florida,77,21.7,17.2,30.5,7.7
45,Wesleyan University,https://www.timeshighereducation.com/world-university-rankings/wesleyan-university#ranking-dataset/634830,Connecticut,76.9,23.8,16,30.5,6.5
46,"University of California, Davis",https://www.timeshighereducation.com/world-university-rankings/university-california-davis#ranking-dataset/634830,California,76.8,18.1,17,33.2,8.4
47,"University of California, San Diego",https://www.timeshighereducation.com/world-university-rankings/university-california-san-diego#ranking-dataset/634830,California,76.1,17.8,15.5,34.1,8.7
48,University of Illinois at Urbana-Champaign,https://www.timeshighereducation.com/world-university-rankings/university-illinois-urbana-champaign#ranking-dataset/634830,Illinois,75.8,15.5,17.1,35.9,7.4
49,Bryn Mawr College,https://www.timeshighereducation.com/world-university-rankings/bryn-mawr-college#ranking-dataset/634830,Pennsylvania,75.5,24.2,15.6,28.3,7.3
50,Lehigh University,https://www.timeshighereducation.com/world-university-rankings/lehigh-university#ranking-dataset/634830,Pennsylvania,75.4,23.5,16.9,29.5,5.5
51,University of Rochester,https://www.timeshighereducation.com/world-university-rankings/university-rochester#ranking-dataset/634830,New York,74.6,24.2,16.5,28,5.8
